Hittite	33.4357812970257
Luvian	35.4
Lycian	29.8445306993837
Tocharian_A	89.3577819848532
Tocharian_B	85.639904267671
Albanian_Sicily	13.6335986216216
Albanian_Corinth	23.5258329215863
Albanian_Gheg	20.8761781434291
Albanian_Tosk	20.4078893269557
Greek	22.4244833145042
Greek_Lesbos	26.25
Classical_Armenian	45.0845970375941
Armenian	45.305168062311
Avestan	56.5832053759183
Old_Persian	49.7135856082214
Wakhi	73.2784554214728
Baluchi	62.5580635441686
Kurdish	44.6699618824466
Tajik	69.7926755573248
Persian	56.497464338956
Waziri	69.5
Pashto	68.3275074219367
Ossetic_Iron	44.520986
Ossetic_Digor	43.8201799375788
Vedic_Sanskrit	75.2925736923182
Nepali	81.7191401912752
Assamese	92.5875510677967
Oriya	84.4083078544998
Bengali	89.9336333317797
Bihari	86.2514416915889
Hindi	79.5549765906433
Urdu	78.5478286853933
Sindhi	68.5026427741777
Lahnda	74.4524172200886
Gujarati	71.837266176159
Marathi	75.4682634517418
Kashmiri	74.8373988785047
Sinhalese	80.7595922694064
Old_Church_Slavonic	23.5698633759189
Serbo-Croatian	20.6942472711936
Bulgarian	23.2769954250417
Macedonian	21.7308628277435
Russian	38.0
Polish	19.2212679089872
Belarusian	28.4809632063919
Ukrainian	31.3759894414153
Slovak	19.8098520947368
Czech	15.4915899544974
Sorbian_Upper	14.395760374776
Sorbian_Lower	13.9499768666667
Slovenian	14.9180192204586
Old_Prussian	19.8936967892766
Latvian	25.0341541608855
Lithuanian	23.8645842057536
Old_Norse	-19.5330516027461
Icelandic	-19.8554940975495
Faroese	-6.83240407959032
Norwegian_Riksmal	11.0867957740995
Swedish	15.0
Danish	9.8066851638111
Old_English	-1.78055413744826
English	-3.5209377168078
Frisian	5.71783664640884
Dutch	5.23107930242214
Flemish	2.9809946875
Old_High_German	11.6826782642743
German	11.1383979707624
Luxembourgish	6.08277790087829
Gothic	16.5001262863809
Oscan	15.6505861410831
Umbrian	12.8381987416551
Latin	12.3966635937599
Catalan	2.0
Portuguese	-8.06735775679228
Spanish	-4.44456782718208
Sardinian_Cagliari	8.83315765128205
Sardinian_Logudoro	8.56566455555556
Sardinian_Nuoro	9.65639736419753
Walloon	5.05004061971831
French	1.11449788231361
Provencal	6.12639570307167
Ladin	11.8927536896552
Romansh	9.80
Friulian	13.2862703614458
Italian	14.0357282757183
Romanian	25.556100646872
Vlach	21.395
Old_Irish	-8.37437151730888
Cornish	-4.89972956692107
Breton	-4.03400156622516
Welsh	-4.25
Irish	-8.19735624567699
Scottish_Gaelic	-5.77410260889693
Ancient_Greek	23.7495907945741
Sogdian	69.4
Shughni	71.79
Sarikoli	75.14
Pali	82.25
